tokens,token_n,N_1,new
Heidelburgh,561,561,0
Tun,562,562,0
.,563,563,1
CHAPTER,564,564,1
78,565,565,0
.,566,566,1
Cistern,567,567,0
and,568,568,1
Buckets,569,569,0
.,570,570,1
CHAPTER,571,571,1
79,572,572,0
.,573,573,1
The,574,574,1
Prairie,575,575,0
.,576,576,1
CHAPTER,577,577,1
80,578,578,0
.,579,579,1
The,580,580,1
Nut,581,581,0
.,582,582,1
CHAPTER,583,583,1
81,584,584,0
.,585,585,1
The,586,586,1
Pequod,587,587,0
Meets,588,588,0
The,589,589,1
Virgin,590,590,0
.,591,591,1
CHAPTER,592,592,1
82,593,593,0
.,594,594,1
The,595,595,1
Honor,596,596,0
and,597,597,1
Glory,598,598,0
of,599,599,1
Whaling,600,600,1
.,601,601,1
CHAPTER,602,602,1
83,603,603,0
.,604,604,1
Jonah,605,605,0
Historically,606,606,0
Regarded,607,607,0
.,608,608,1
CHAPTER,609,609,1
84,610,610,0
.,611,611,1
Pitchpoling,612,612,0
.,613,613,1
CHAPTER,614,614,1
85,615,615,0
.,616,616,1
The,617,617,1
Fountain,618,618,0
.,619,619,1
CHAPTER,620,620,1
86,621,621,0
.,622,622,1
The,623,623,1
Tail,624,624,0
.,625,625,1
CHAPTER,626,626,1
87,627,627,0
.,628,628,1
The,629,629,1
Grand,630,630,0
Armada,631,631,0
.,632,632,1
CHAPTER,633,633,1
88,634,634,0
.,635,635,1
Schools,636,636,0
and,637,637,1
Schoolmasters,638,638,0
.,639,639,1
CHAPTER,640,640,1
89,641,641,0
.,642,642,1
Fast-Fish,643,643,0
and,644,644,1
Loose-Fish,645,645,0
.,646,646,1
CHAPTER,647,647,1
90,648,648,0
.,649,649,1
Heads,650,650,0
or,651,651,1
Tails,652,652,0
.,653,653,1
CHAPTER,654,654,1
91,655,655,0
.,656,656,1
The,657,657,1
Pequod,658,658,1
Meets,659,659,1
The,660,660,1
Rose-Bud,661,661,0
.,662,662,1
CHAPTER,663,663,1
92,664,664,0
.,665,665,1
Ambergris,666,666,0
.,667,667,1
CHAPTER,668,668,1
93,669,669,0
.,670,670,1
The,671,671,1
Castaway,672,672,0
.,673,673,1
CHAPTER,674,674,1
94,675,675,0
.,676,676,1
A,677,677,1
Squeeze,678,678,0
of,679,679,1
the,680,680,1
Hand,681,681,0
.,682,682,1
CHAPTER,683,683,1
95,684,684,0
.,685,685,1
The,686,686,1
Cassock,687,687,0
.,688,688,1
CHAPTER,689,689,1
96,690,690,0
.,691,691,1
The,692,692,1
Try-Works,693,693,0
.,694,694,1
CHAPTER,695,695,1
97,696,696,0
.,697,697,1
The,698,698,1
Lamp,699,699,0
.,700,700,1
CHAPTER,701,701,1
98,702,702,0
.,703,703,1
Stowing,704,704,0
Down,705,705,0
and,706,706,1
Clearing,707,707,0
Up,708,708,0
.,709,709,1
CHAPTER,710,710,1
99,711,711,0
.,712,712,1
The,713,713,1
Doubloon,714,714,0
.,715,715,1
CHAPTER,716,716,1
100,717,717,0
.,718,718,1
Leg,719,719,0
and,720,720,1
Arm,721,721,0
.,722,722,1
CHAPTER,723,723,1
101,724,724,0
.,725,725,1
The,726,726,1
Decanter,727,727,0
.,728,728,1
CHAPTER,729,729,1
102,730,730,0
.,731,731,1
A,732,732,1
Bower,733,733,0
in,734,734,1
the,735,735,1
Arsacides,736,736,0
.,737,737,1
CHAPTER,738,738,1
103,739,739,0
.,740,740,1
Measurement,741,741,0
of,742,742,1
The,743,743,1
Whale,744,744,1
’,745,745,1
s,746,746,1
Skeleton,747,747,0
.,748,748,1
CHAPTER,749,749,1
104,750,750,0
.,751,751,1
The,752,752,1
Fossil,753,753,0
Whale,754,754,1
.,755,755,1
CHAPTER,756,756,1
105,757,757,0
.,758,758,1
Does,759,759,0
the,760,760,1
Whale,761,761,1
’,762,762,1
s,763,763,1
Magnitude,764,764,0
Diminish,765,765,0
?,766,766,0
—Will,767,767,0
He,768,768,0
Perish,769,769,0
?,770,770,1
CHAPTER,771,771,1
106,772,772,0
.,773,773,1
Ahab,774,774,1
’,775,775,1
s,776,776,1
Leg,777,777,1
.,778,778,1
CHAPTER,779,779,1
107,780,780,0
.,781,781,1
The,782,782,1
Carpenter,783,783,0
.,784,784,1
CHAPTER,785,785,1
108,786,786,0
.,787,787,1
Ahab,788,788,1
and,789,789,1
the,790,790,1
Carpenter,791,791,1
.,792,792,1
CHAPTER,793,793,1
109,794,794,0
.,795,795,1
Ahab,796,796,1
and,797,797,1
Starbuck,798,798,0
in,799,799,1
the,800,800,1
Cabin,801,801,0
.,802,802,1
CHAPTER,803,803,1
110,804,804,0
.,805,805,1
Queequeg,806,806,0
in,807,807,1
His,808,808,1
Coffin,809,809,0
.,810,810,1
CHAPTER,811,811,1
111,812,812,0
.,813,813,1
The,814,814,1
Pacific,815,815,0
.,816,816,1
CHAPTER,817,817,1
112,818,818,0
.,819,819,1
The,820,820,1
Blacksmith,821,821,0
.,822,822,1
CHAPTER,823,823,1
113,824,824,0
.,825,825,1
The,826,826,1
Forge,827,827,0
.,828,828,1
CHAPTER,829,829,1
114,830,830,0
.,831,831,1
The,832,832,1
Gilder,833,833,0
.,834,834,1
CHAPTER,835,835,1
115,836,836,0
.,837,837,1
The,838,838,1
Pequod,839,839,1
Meets,840,840,1
The,841,841,1
Bachelor,842,842,0
.,843,843,1
CHAPTER,844,844,1
116,845,845,0
.,846,846,1
The,847,847,1
Dying,848,848,0
Whale,849,849,1
.,850,850,1
CHAPTER,851,851,1
117,852,852,0
.,853,853,1
The,854,854,1
Whale,855,855,1
Watch,856,856,0
.,857,857,1
CHAPTER,858,858,1
118,859,859,0
.,860,860,1
The,861,861,1
Quadrant,862,862,0
.,863,863,1
CHAPTER,864,864,1
119,865,865,0
.,866,866,1
The,867,867,1
Candles,868,868,0
.,869,869,1
CHAPTER,870,870,1
120,871,871,0
.,872,872,1
The,873,873,1
Deck,874,874,0
Towards,875,875,0
the,876,876,1
End,877,877,0
of,878,878,1
the,879,879,1
First,880,880,1
Night,881,881,0
Watch,882,882,1
.,883,883,1
CHAPTER,884,884,1
121,885,885,0
.,886,886,1
Midnight.—The,887,887,0
Forecastle,888,888,1
Bulwarks,889,889,0
.,890,890,1
CHAPTER,891,891,1
122,892,892,0
.,893,893,1
Midnight,894,894,1
Aloft.—Thunder,895,895,0
and,896,896,1
Lightning,897,897,0
.,898,898,1
CHAPTER,899,899,1
123,900,900,0
.,901,901,1
The,902,902,1
Musket,903,903,0
.,904,904,1
CHAPTER,905,905,1
124,906,906,0
.,907,907,1
The,908,908,1
Needle,909,909,0
.,910,910,1
CHAPTER,911,911,1
125,912,912,0
.,913,913,1
The,914,914,1
Log,915,915,0
and,916,916,1
Line,917,917,1
.,918,918,1
CHAPTER,919,919,1
126,920,920,0
.,921,921,1
The,922,922,1
Life-Buoy,923,923,0
.,924,924,1
CHAPTER,925,925,1
127,926,926,0
.,927,927,1
The,928,928,1
Deck,929,929,1
.,930,930,1
CHAPTER,931,931,1
128,932,932,0
.,933,933,1
The,934,934,1
Pequod,935,935,1
Meets,936,936,1
The,937,937,1
Rachel,938,938,0
.,939,939,1
CHAPTER,940,940,1
129,941,941,0
.,942,942,1
The,943,943,1
Cabin,944,944,1
.,945,945,1
CHAPTER,946,946,1
130,947,947,0
.,948,948,1
The,949,949,1
Hat,950,950,0
.,951,951,1
CHAPTER,952,952,1
131,953,953,0
.,954,954,1
The,955,955,1
Pequod,956,956,1
Meets,957,957,1
The,958,958,1
Delight,959,959,0
.,960,960,1
CHAPTER,961,961,1
132,962,962,0
.,963,963,1
The,964,964,1
Symphony,965,965,0
.,966,966,1
CHAPTER,967,967,1
133,968,968,0
.,969,969,1
The,970,970,1
Chase—First,971,971,0
Day,972,972,0
.,973,973,1
CHAPTER,974,974,1
134,975,975,0
.,976,976,1
The,977,977,1
Chase—Second,978,978,0
Day,979,979,1
.,980,980,1
CHAPTER,981,981,1
135,982,982,0
.,983,983,1
The,984,984,1
Chase.—Third,985,985,0
Day,986,986,1
.,987,987,1
Epilogue,988,988,0
Original,989,989,0
Transcriber,990,990,0
’,991,991,1
s,992,992,1
Notes,993,993,0
:,994,994,0
This,995,995,0
text,996,996,0
is,997,997,0
a,998,998,1
combination,999,999,0
of,1000,1000,1
etexts,1001,1001,0
",",1002,1002,1
one,1003,1003,0
from,1004,1004,0
the,1005,1005,1
now-defunct,1006,1006,0
ERIS,1007,1007,0
project,1008,1008,0
at,1009,1009,0
Virginia,1010,1010,0
Tech,1011,1011,0
and,1012,1012,1
one,1013,1013,1
from,1014,1014,1
Project,1015,1015,0
Gutenberg,1016,1016,0
’,1017,1017,1
s,1018,1018,1
archives,1019,1019,0
.,1020,1020,1
The,1021,1021,1
proofreaders,1022,1022,0
of,1023,1023,1
this,1024,1024,0
version,1025,1025,0
are,1026,1026,0
indebted,1027,1027,0
to,1028,1028,1
The,1029,1029,1
University,1030,1030,0
of,1031,1031,1
Adelaide,1032,1032,0
Library,1033,1033,0
for,1034,1034,0
preserving,1035,1035,0
the,1036,1036,1
Virginia,1037,1037,1
Tech,1038,1038,1
version,1039,1039,1
.,1040,1040,1
The,1041,1041,1
resulting,1042,1042,0
etext,1043,1043,0
was,1044,1044,0
compared,1045,1045,0
with,1046,1046,0
a,1047,1047,1
public,1048,1048,0
domain,1049,1049,0
hard,1050,1050,0
copy,1051,1051,0
version,1052,1052,1
of,1053,1053,1
the,1054,1054,1
text,1055,1055,1
.,1056,1056,1
